Nodes (V),Degree (D),Init Time (s),RAM Usage (MB)
36,5,0.352643767,1.0263900756835938
49,6,1.606587358,3.0968551635742188
64,7,5.212397716,7.909004211425781
81,8,26.156827752,17.939170837402344
100,9,79.882226254,36.56250762939453
121,10,197.287395225,69.33849334716797
144,11,523.845884204,123.7638168334961
